Genus_species,Class,Familly,Genus,Species,Fishbase_url,English_name,French_name,Size,Size_ref,Mobility,Mobility_ref,Activity,Activity_ref,Schooling,Schooling_ref,Position,Position_ref,Diet,Diet_ref
Abalistes_stellatus,Actinopterygii,Balistidae,Abalistes,stellatus,https://www.fishbase.us/summary/Abalistes-stellatus.html,Starry triggerfish,,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Ablennes_hians,Actinopterygii,Belonidae,Ablennes,hians,https://www.fishbase.us/summary/Ablennes-hians.html,Flat needlefish,Orphie coutelas,>80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,pelagic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_notatus,Actinopterygii,Pomacentridae,Abudefduf,notatus,https://www.fishbase.us/summary/Abudefduf-notatus.html,Yellow-tail sergeant,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_septemfasciatus,Actinopterygii,Pomacentridae,Abudefduf,septemfasciatus,https://www.fishbase.us/summary/Abudefduf-septemfasciatus.html,Banded sergeant,Boeteur,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_sexfasciatus,Actinopterygii,Pomacentridae,Abudefduf,sexfasciatus,https://www.fishbase.us/summary/Abudefduf-sexfasciatus.html,Scissor-tail sergeant,Boeteur carreaux,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_sordidus,Actinopterygii,Pomacentridae,Abudefduf,sordidus,https://www.fishbase.us/summary/Abudefduf-sordidus.html,Black-spot sergeant,Boeteur roche,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_sparoides,Actinopterygii,Pomacentridae,Abudefduf,sparoides,https://www.fishbase.us/summary/Abudefduf-sparoides.html,False-eye sergeant,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Abudefduf_vaigiensis,Actinopterygii,Pomacentridae,Abudefduf,vaigiensis,https://www.fishbase.us/summary/Abudefduf-vaigiensis.html,Sergeant major,Sergent-major bagnard,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthocybium_solandri,Actinopterygii,Scombridae,Acanthocybium,solandri,https://www.fishbase.us/summary/Acanthocybium-solandri.html,Wahoo,Thon banane,>80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,pelagic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_bariene,Actinopterygii,Acanthuridae,Acanthurus,bariene,https://www.fishbase.us/summary/Acanthurus-bariene.html,Roundspot surgeonfish,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_blochii,Actinopterygii,Acanthuridae,Acanthurus,blochii,https://www.fishbase.us/summary/Acanthurus-blochii.html,Ringtail surgeonfish,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_dussumieri,Actinopterygii,Acanthuridae,Acanthurus,dussumieri,https://www.fishbase.us/summary/Acanthurus-dussumieri.html,Eyestripe surgeonfish,,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_leucosternon,Actinopterygii,Acanthuridae,Acanthurus,leucosternon,https://www.fishbase.us/summary/Acanthurus-leucosternon.html,Powder-blue surgeonfish,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,>50_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_lineatus,Actinopterygii,Acanthuridae,Acanthurus,lineatus,https://www.fishbase.us/summary/Acanthurus-lineatus.html,Striped surgeonfish,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_mata,Actinopterygii,Acanthuridae,Acanthurus,mata,https://www.fishbase.us/summary/Acanthurus-mata.html,Elongate surgeonfish,Chirurgien,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,>50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_nigricauda,Actinopterygii,Acanthuridae,Acanthurus,nigricauda,https://www.fishbase.us/summary/Acanthurus-nigricauda.html,Blackstreak surgeonfish,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_nigrofuscus,Actinopterygii,Acanthuridae,Acanthurus,nigrofuscus,https://www.fishbase.us/summary/Acanthurus-nigrofuscus.html,Brown surgeonfish,Chirurgien brun,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_olivaceus,Actinopterygii,Acanthuridae,Acanthurus,olivaceus,https://www.fishbase.se/summary/Acanthurus-olivaceus.html,Orangeband surgeonfish,,30.1-50cm,Fishbase,mobile_within_a_reef,T Claverie educated guess,diurnal,as other sp in genus,3_20_individuals,as most reported sp in genus,bentho-pelagic,Fishbase,omnivorous,Fishbase
Acanthurus_tennentii,Actinopterygii,Acanthuridae,Acanthurus,tennentii,https://www.fishbase.us/summary/Acanthurus-tennentii.html,Lieutenant surgeonfish,Chirurgien lieutenant,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_thompsoni,Actinopterygii,Acanthuridae,Acanthurus,thompsoni,https://www.fishbase.us/summary/Acanthurus-thompsoni.html,Thompson's surgeonfish,Chirurgien de Thompson,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_triostegus,Actinopterygii,Acanthuridae,Acanthurus,triostegus,https://www.fishbase.us/summary/Acanthurus-triostegus.html,Convict surgeonfish,Chirurgien bagnard,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,>50_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Acanthurus_tristis,Actinopterygii,Acanthuridae,Acanthurus,tristis,https://www.fishbase.se/summary/Acanthurus-tristis.html,Blackcheek surgeonfish,,15.1-30cm,Fishbase,mobile_within_a_reef,T Claverie educated guess,diurnal,as other sp in genus,3_20_individuals,as most reported sp in genus,benthic,as most sp in genus,herbivorous-detritivorous,as most sp in genus
Acanthurus_xanthopterus,Actinopterygii,Acanthuridae,Acanthurus,xanthopterus,https://www.fishbase.us/summary/Acanthurus-xanthopterus.html,Yellowfin surgeonfish,Chirurgien aile jaune,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,herbivorous-detritivorous,https://doi.org/10.1098/rspb.2021.1712
Aeoliscus_strigatus,Actinopterygii,Centriscidae,Aeoliscus,strigatus,https://www.fishbase.us/summary/Aeoliscus-strigatus.html,Razorfish,Canif,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Aethaloperca_rogaa,Actinopterygii,Serranidae,Aethaloperca,rogaa,https://www.fishbase.us/summary/Aethaloperca-rogaa.html,Redmouth grouper,Vieille rogaa,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Aetobatus_narinari,Elasmobranchii,Myliobatidae,Aetobatus,narinari,https://www.fishbase.us/summary/Aetobatus-narinari.html,Spotted eagle ray,Raie aigle,>80cm,Fishbase,mobile_between_reefs,T Claverie educated guess,diurnal,T Claverie educated guess,solitary,Fishbase,bentho-pelagic,Fishbase,invertivorous-targeting-sessile-invertebrates,Fishbase
Agonostomus_telfairii,Actinopterygii,Mugilidae,Agonostomus,telfairii,https://www.fishbase.us/summary/Agonostomus-telfairii.html,Fairy mullet,Mulet enchanteur,,NA,,NA,,NA,,NA,,NA,,NA
Albula_glossodonta,Actinopterygii,Albulidae,Albula,glossodonta,https://www.fishbase.us/summary/Albula-glossodonta.html,Indo-Pacific bonefish,Banane,>80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Alectis_ciliaris,Actinopterygii,Carangidae,Alectis,ciliaris,https://www.fishbase.us/summary/Alectis-ciliaris.html,African pompano,Cordonnier,>80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,pelagic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Alectis_indica,Actinopterygii,Carangidae,Alectis,indica,https://www.fishbase.us/summary/Alectis-indica.html,Indian threadfish,Cordonnier plume,,NA,,NA,,NA,,NA,,NA,,NA
Alepes_djedaba,Actinopterygii,Carangidae,Alepes,djedaba,https://www.fishbase.us/summary/Alepes-djedaba.html,Shrimp scad,Selar subari,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,>50_individuals,https://doi.org/10.1098/rspb.2021.1712,pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Alepisaurus_ferox,Actinopterygii,Alepisauridae,Alepisaurus,ferox,https://www.fishbase.us/summary/Alepisaurus-ferox.html,Longnose lancetfish,,,NA,,NA,,NA,,NA,,NA,,NA
Aluterus_monoceros,Actinopterygii,Monacanthidae,Aluterus,monoceros,https://www.fishbase.us/summary/Aluterus-monoceros.html,Unicorn filefish,Bourse loulou,,NA,,NA,,NA,,NA,,NA,,NA
Aluterus_scriptus,Actinopterygii,Monacanthidae,Aluterus,scriptus,https://www.fishbase.us/summary/Aluterus-scriptus.html,Scrawled filefish,,>80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Amanses_scopas,Actinopterygii,Monacanthidae,Amanses,scopas,https://www.fishbase.us/summary/Amanses-scopas.html,Broom filefish,Poisson lime balai,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Ambassis_ambassis,Actinopterygii,Ambassidae,Ambassis,ambassis,https://www.fishbase.us/summary/Ambassis-ambassis.html,Commerson's glassy,,,NA,,NA,,NA,,NA,,NA,,NA
Ambassis_natalensis,Actinopterygii,Ambassidae,Ambassis,natalensis,https://www.fishbase.us/summary/Ambassis-natalensis.html,Slender glassy,,,NA,,NA,,NA,,NA,,NA,,NA
Amblyeleotris_aurora,Actinopterygii,Gobiidae,Amblyeleotris,aurora,https://www.fishbase.us/summary/Amblyeleotris-aurora.html,Beautiful prawn-goby,gobie magnifique,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Amblyeleotris_steinitzi,Actinopterygii,Gobiidae,Amblyeleotris,steinitzi,https://www.fishbase.us/summary/Amblyeleotris-steinitzi.html,Steinitz' prawn-goby,gobie de steinitzi,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Amblyeleotris_sungami,Actinopterygii,Gobiidae,Amblyeleotris,sungami,https://www.fishbase.us/summary/Amblyeleotris-sungami.html,Magnus' prawn-goby,,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Amblyeleotris_wheeleri,Actinopterygii,Gobiidae,Amblyeleotris,wheeleri,https://www.fishbase.us/summary/Amblyeleotris-wheeleri.html,Gorgeous goby,gobie splendide,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Amblyglyphidodon_indicus,Actinopterygii,Pomacentridae,Amblyglyphidodon,indicus,https://www.fishbase.se/summary/Amblyglyphidodon-indicus.html,NA,demoiselle gris bleu,0-7cm,to.verify.probably.fishbase,sedentary,to.verify.probably.fishbase,diurnal,to.verify.probably.fishbase,3_20_individuals,to.verify.probably.fishbase,bentho-pelagic,to.verify.probably.fishbase,planktivorous,to.verify.probably.fishbase
Amblyglyphidodon_leucogaster,Actinopterygii,Pomacentridae,Amblyglyphidodon,leucogaster,https://www.fishbase.us/summary/Amblyglyphidodon-leucogaster.html,White-belly damsel,,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Amblygobius_albimaculatus,Actinopterygii,Gobiidae,Amblygobius,albimaculatus,https://www.fishbase.us/summary/Amblygobius-albimaculatus.html,Butterfly goby,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,pairing,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Amblygobius_semicinctus,Actinopterygii,Gobiidae,Amblygobius,semicinctus,https://www.fishbase.us/summary/Amblygobius-semicinctus.html,NA,gobie a demi bandes ,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,pairing,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Amblygobius_sphynx,Actinopterygii,Gobiidae,Amblygobius,sphynx,https://www.fishbase.us/summary/Amblygobius-sphynx.html,Sphinx goby,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,pairing,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Amphiprion_akallopisos,Actinopterygii,Pomacentridae,Amphiprion,akallopisos,https://www.fishbase.us/summary/Amphiprion-akallopisos.html,Skunk anemonefish,Poisson-clown mouffette,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Amphiprion_allardi,Actinopterygii,Pomacentridae,Amphiprion,allardi,https://www.fishbase.us/summary/Amphiprion-allardi.html,Allard's anemonefish,Poisson-clown d'Allard,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Amphiprion_clarkii,Actinopterygii,Pomacentridae,Amphiprion,clarkii,https://www.fishbase.us/summary/Amphiprion-clarkii.html,Clark's anemonefish,Poisson-clown de Clark,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Amphiprion_latifasciatus,Actinopterygii,Pomacentridae,Amphiprion,latifasciatus,https://www.fishbase.us/summary/Amphiprion-latifasciatus.html,Madagascar anemonefish,Poisson-clown de Madagascar,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Anampses_caeruleopunctatus,Actinopterygii,Labridae,Anampses,caeruleopunctatus,https://www.fishbase.us/summary/Anampses-caeruleopunctatus.html,Bluespotted tamarin,Labre bleu,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Anampses_lineatus,Actinopterygii,Labridae,Anampses,lineatus,https://www.fishbase.us/summary/Anampses-lineatus.html,Lined wrasse,,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Anampses_meleagrides,Actinopterygii,Labridae,Anampses,meleagrides,https://www.fishbase.us/summary/Anampses-meleagrides.html,Yellowtail wrasse,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Anampses_twistii,Actinopterygii,Labridae,Anampses,twistii,https://www.fishbase.us/summary/Anampses-twistii.html,Yellowbreasted wrasse,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Anguilla_bicolor,Actinopterygii,Anguillidae,Anguilla,bicolor,https://www.fishbase.us/summary/Anguilla-bicolor.html,Shortfin eel,,,NA,,NA,,NA,,NA,,NA,,NA
Anguilla_marmorata,Actinopterygii,Anguillidae,Anguilla,marmorata,https://www.fishbase.us/summary/Anguilla-marmorata.html,Giant mottled eel,,,NA,,NA,,NA,,NA,,NA,,NA
Anguilla_mossambica,Actinopterygii,Anguillidae,Anguilla,mossambica,https://www.fishbase.us/summary/Anguilla-mossambica.html,African longfin eel,,,NA,,NA,,NA,,NA,,NA,,NA
Antennarius_commerson,Actinopterygii,Antennariidae,Antennarius,commerson,https://www.fishbase.us/summary/Antennarius-commerson.html,Commerson's frogfish,Grenouille de Commerson,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,nocturnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Anyperodon_leucogrammicus,Actinopterygii,Serranidae,Anyperodon,leucogrammicus,https://www.fishbase.us/summary/Anyperodon-leucogrammicus.html,Slender grouper,Cheval du bois,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
