Genus_species,Class,Familly,Genus,Species,Fishbase_url,English_name,French_name,Size,Size_ref,Mobility,Mobility_ref,Activity,Activity_ref,Schooling,Schooling_ref,Position,Position_ref,Diet,Diet_ref
Heteropriacanthus_cruentatus,Actinopterygii,Priacanthidae,Heteropriacanthus,cruentatus,https://www.fishbase.se/summary/Heteropriacanthus-cruentatus.html,Glasseye,Beauclair oeil de verre,,NA,,NA,,NA,,NA,,NA,,NA
Hexanchus_griseus,Elasmobranchii,Hexanchidae,Hexanchus,griseus,https://www.fishbase.us/summary/Hexanchus-griseus.html,Sixgill shark,Arbano,,NA,,NA,,NA,,NA,,NA,,NA
Himantura_uarnak,Elasmobranchii,Dasyatidae,Himantura,uarnak,https://www.fishbase.us/summary/Himantura-uarnak.html,Coachwhip ray,,,NA,,NA,,NA,,NA,,NA,,NA
Hippocampus_jayakari,Actinopterygii,Syngnathidae,Hippocampus,jayakari,https://www.fishbase.us/summary/Hippocampus-jayakari.html,Jayakar's seahorse,,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Hipposcarus_harid,Actinopterygii,Scaridae,Hipposcarus,harid,https://www.fishbase.us/summary/Hipposcarus-harid.html,Candelamoa parrotfish,Perroquet candelamoa,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Hologymnosus_annulatus,Actinopterygii,Labridae,Hologymnosus,annulatus,https://www.fishbase.us/summary/Hologymnosus-annulatus.html,Ring wrasse,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Hologymnosus_doliatus,Actinopterygii,Labridae,Hologymnosus,doliatus,https://www.fishbase.us/summary/Hologymnosus-doliatus.html,Pastel ringwrasse,Colombine pastel,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Hoplolatilus_fronticinctus,Actinopterygii,Malacanthidae,Hoplolatilus,fronticinctus,https://www.fishbase.us/summary/Hoplolatilus-fronticinctus.html,Blue-saddled tilefish,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Hypseleotris_cyprinoides,Actinopterygii,Eleotridae,Hypseleotris,cyprinoides,https://www.fishbase.us/summary/Hypseleotris-cyprinoides.html,Golden sleeper,,,NA,,NA,,NA,,NA,,NA,,NA
Iniistius_pavo,Actinopterygii,Labridae,Iniistius,pavo,https://www.fishbase.us/summary/Iniistius-pavo.html,Peacock wrasse,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Iniistius_pentadactylus,Actinopterygii,Labridae,Iniistius,pentadactylus,https://www.fishbase.us/summary/Iniistius-pentadactylus.html,Fivefinger razorfish,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Istiblennius_sp.,Actinopterygii,Blenniidae,Istiblennius,sp.,NA,NA,,,NA,,NA,,NA,,NA,,NA,,NA
Istigobius_decoratus,Actinopterygii,Gobiidae,Istigobius,decoratus,https://www.fishbase.us/summary/Istigobius-decoratus.html,Decorated goby,gobie decore ,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Istiompax_indica,Actinopterygii,Istiophoridae,Istiompax,indica,https://www.fishbase.us/summary/Istiompax-indica.html,Black marlin,Makaire noir,,NA,,NA,,NA,,NA,,NA,,NA
Istiophorus_platypterus,Actinopterygii,Istiophoridae,Istiophorus,platypterus,https://www.fishbase.us/summary/Istiophorus-platypterus.html,Sailfish,Voilier,,NA,,NA,,NA,,NA,,NA,,NA
Isurus_oxyrinchus,Elasmobranchii,Lamnidae,Isurus,oxyrinchus,https://www.fishbase.us/summary/Isurus-oxyrinchus.html,Shortfin mako,Requin maquereau,,NA,,NA,,NA,,NA,,NA,,NA
Kajikia_audax,Actinopterygii,Istiophoridae,Kajikia,audax,https://www.fishbase.us/summary/Kajikia-audax.html,Striped marlin,,,NA,,NA,,NA,,NA,,NA,,NA
Karalla_dussumieri,Actinopterygii,Leiognathidae,Karalla,dussumieri,https://www.fishbase.us/summary/Karalla-dussumieri.html,Dussumier's ponyfish,Sapsap vaguelette,,NA,,NA,,NA,,NA,,NA,,NA
Katsuwonus_pelamis,Actinopterygii,Scombridae,Katsuwonus,pelamis,https://www.fishbase.us/summary/Katsuwonus-pelamis.html,Skipjack tuna,,,NA,,NA,,NA,,NA,,NA,,NA
Kuhlia_caudavittata,Actinopterygii,Kuhliidae,Kuhlia,caudavittata,https://www.fishbase.us/summary/Kuhlia-caudavittata.html,NA,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Kuhlia_mugil,Actinopterygii,Kuhliidae,Kuhlia,mugil,https://www.fishbase.us/summary/Kuhlia-mugil.html,Barred flagtail,Carpe,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
